Date,value,Model Code,Model check code
1989-04-01,20.23,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1989-05-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1989-06-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1989-07-01,19.03,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1989-08-01,18.61,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1989-09-01,18.2,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1989-10-01,18.87,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1989-11-01,19.77,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1989-12-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1990-01-01,21.67,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1990-02-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1990-03-01,21.03,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1990-04-01,18.51,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1990-05-01,18.3,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1990-06-01,17.69,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1990-07-01,17.45,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1990-08-01,25.68,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1990-09-01,29.11,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1990-10-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1990-11-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1990-12-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1991-01-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1991-02-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1991-03-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1991-04-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1991-05-01,20.24,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1991-06-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1991-07-01,20.54,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1991-08-01,20.71,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1991-09-01,21.19,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1991-10-01,21.93,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1991-11-01,22.9,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1991-12-01,20.41,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1992-01-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1992-02-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1992-03-01,18.93,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1992-04-01,18.84,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1992-05-01,19.94,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1992-06-01,20.71,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1992-07-01,21.45,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1992-08-01,21.44,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1992-09-01,20.72,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1992-10-01,21.19,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1992-11-01,21.07,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1992-12-01,19.52,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1993-01-01,19.05,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1993-02-01,19.28,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1993-03-01,19.43,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1993-04-01,19.6,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1993-05-01,19.46,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1993-06-01,18.98,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1993-07-01,17.67,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1993-08-01,17.65,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1993-09-01,17.01,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1993-10-01,16.95,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1993-11-01,16.51,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1993-12-01,15.03,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
